Bands,Model,Price
Ford,Ranger Double Cab XL+ 2.0L Turbo 6MT,"802,000"
Ford,SWB 2.0L Bi-turbo 4x4 10AT,"849,000"
Toyota,D-CAB 4x4 2.4E,"892,000"
Ford,Ranger Double Cab XLT 2.0L Turbo HR 6AT,"944,000"
Toyota,New Corolla Altis Esport nurburgring edition,"949,000"
Honda,All-New BR-V EL-Premium Sunlight,"977,000"
Ford,Ranger Double Cab Wildtrak 2.0L Turbo HR 6AT,"1,064,000"
Ford,Ranger Double Cab Wildtrak 2.0L Bi-Turbo HR 10AT,"1,174,000"
Honda,New Civic Hatcthbaack Turbo RS,"1,229,000"
Toyota,Prius Topoption TRD,"1,399,000"
Honda,CR-V 2.4 EL(4WD),"1,579,000"
Toyota,Fortuner VA/T 4x4,"1,629,000"
Toyota,Camry Esport,"1,639,000"
Honda,The Accord e:HEV Tech Turbo,"1,799,000"
Benz,Mercedes-Benz A 200 Progressive (1,332 ซีซี),"1,990,000"
Benz,Mercedes-Benz GLA 200 Progressive (1,332 ซีซี),"2,330,000"
Benz,Mercedes-Benz E 300 e AMG Dynamic (1,991 ซีซี),"3,899,000"
Benz,Mercedes-Benz E 200 Coupe AMG Dynamic (1,991 ซีซี),"4,850,000"
Benz,Mercedes-AMG GLC 43 4MATIC Coupe (2,996 ซีซี),"5,100,000"
Benz,Mercedes-AMG C 63 S Coupe (3,982 ซีซี),"10,129,000"
Benz,Mercedes-AMG G 63 (3,982 ซีซี),"16,300,000"
Benz,Mercedes-Maybach S 580 4MATIC Premium (3,982 ซีซี),"18,300,000"



